title,target_genre,text_sample,,,,,,,,,,,,
Innocent Blood,Mystery,"From Amazon.com:
Adopted as a child into a privileged family, Philippa Palfrey fantasizes that she is the daughter of an aristocrat and a parlor maid. The terrifying truth about her parents and a long-ago murder is only the first in a series of shocking betrayals. Philippa quickly learns that those who delve into the secrets of the past must be on guard when long-buried horrors begin to stir.

""As a crime novel,"" wrote the London Times, Innocent Blood is ""the peak of the art."" ""Flawlessly crafted...profoundly, masterfully moving,"" Cosmopolitan concurred.",,,,,,,,,,,,
Fudge Cupcake Murder,Mystery,"Bakery owner Hannah Swensen just can't keep her hands out of the batter when murder stirs things up in Lake Eden, Minnesota, leaving the sheriff dead, a deputy accused, and a killer on the loose…For Hannah, life seems to be lacking a certain flavor lately. Maybe it's the local sheriff's election that's got her down. For years, Sheriff Grant's been the iron hand in town. But now, Hannah's brother-in-law Bill is giving the old blowhard the fight of his long, dubious career-and Grant's not taking it well, especially once the polls show Bill pulling ahead.But before anyone can taste victory, things go sour. While Hannah's emptying the trash, she makes a very unappetizing discovery: Sheriff Grant's body in the Dumpster behind the high school where she's teaching her cooking class. And as if that weren't bad enough, the poor man still has fudge frosting on his shirt from one of her cupcakes.The number one-and only-suspect is Bill, but Hannah's not swallowing it. Plenty of people had reason to hate Sheriff Grant. Soon, Hannah's dishing up scandalous secrets, steaming hot betrayals, and enough intrigue to keep the gossip mill at The Cookie Jar going through several pots of decaf. And the closer Hannah gets to the truth, the closer she gets to smoking out a murderer with a very nasty recipe for silencing people…",,,,,,,,,,,,
An Autobiography,Mystery,"Agatha Christie died on 12 January 1976, having become the best-selling novelist in history. Her autobiography, published in 1977 a year after her death, tells of her fascinating private life, from early childhood through two marriages and two World Wars, and her experiences both as a writer and on archaeological expeditions with her second husband, Max Mallowan. Not only does the book reveal the true genius of her legendary success, but the story is vividly told and as captivating as one of her novels. - Publisher.",,,,,,,,,,,,
The Mousetrap,Mystery,"SYNOPSIS 
Mollie and Giles Ralston are opening their guesthouse, Monkswell Manor, for its first guests. They are new to the business and struggle with the details and an unusually heavy snowstorm. They hear on the radio that a Mrs. Maureen Lyon has been murdered in London and the suspect is wearing a dark overcoat, light scarf, and soft felt hat. Giles is wearing similar outerwear, as are many of the guests. After all the guests have settled in, Mollie receives a phone call from the police station. She is informed that Sergeant Trotter will be coming to the Manor and everyone must fully cooperate with him. 
The Sergeant arrives on skis, informing everyone that a notebook was found at the London crime scene, listing the address at which the murder occurred and also that of Monkswell Manor, implying that the guesthouse could be the site of a second murder. Soon",,,,,,,,,,,,
The Ice Princess,Mystery,"For the first time in English, the psychological thriller debut of No.1 bestselling Swedish crime sensation Camilla Lackberg.Returning to her hometown after the funeral of her parents, writer Erica Falck finds a community on the brink of tragedy. The death of her childhood friend, Alex, is just the beginning. Her wrists slashed, her body frozen in an ice cold bath, it seems that she has taken her own life. Erica conceives a memoir about the beautiful but remote Alex, one that will answer questions about their lost friendship. While her interest grows to an obsession, local detective Patrik Hedstrom is following his own suspicions about the case. But it is only when they start working together that the truth begins to emerge about the small town with a deeply disturbing past.",,,,,,,,,,,,
The Key to Midnight,Mystery,"Almost twelve years ago, American Joanna Rand arrived in Japan to become a singer in a nightclub. In all that time, she has never been able to escape the strange dream that haunts her night after night. Each time she awakens, she feels violated, used-and terrified.

Alex Hunter knows that Joanna is not who she thinks she is, because he has seen her before-in photographs of a senator's daughter who disappeared twelve years ago. And there is only one way to unlock the dark secret of her soul...",,,,,,,,,,,,
Howliday Inn,Mystery,"Not a great place to visit, and you wouldn't want to live there 

The Monroes have gone on vacation, leaving Harold and Chester at Chateau Bow-Wow-not exactly a four-star hotel. On the animals' very first night there, the silence is pierced by a peculiar wake-up call-an unearthly howl that makes Chester observe that the place should be called Howliday Inn. 

But the mysterious cries in the night (Chester is convinced there are werewolves afoot) are just the beginning of the frightening goings-on. Soon animals start disappearing, and there are whispers of murder. Is checkout time at Chateau Bow-Wow going to come earlier than Harold and Chester anticipated?
([source][1])


 [1]:",,,,,,,,,,,,
The Fisherman,Mystery,"In upstate New York, in the woods around Woodstock, Dutchman's Creek flows out of the Ashokan Reservoir. Steep-banked, fast-moving, it offers the promise of fine fishing, and of something more, a possibility too fantastic to be true. When Abe and Dan, two widowers who have found solace in each other's company and a shared passion for fishing, hear rumors of the Creek, and what might be found there, the remedy to both their losses, they dismiss it as just another fish story. 

Soon, though, the men find themselves drawn into a tale as deep and old as the Reservoir. It's a tale of dark pacts, of long-buried secrets, and of a mysterious figure known as *Der Fisher*: the Fisherman. It will bring Abe and Dan face to face with all that they have lost, and with the price they must pay to regain it.",,,,,,,,,,,,
All Around The Town,Mystery,"When Laurie Kenyon, a twenty-one-year old student is accused of murdering her English professor, Allen Grant, she has no memory of the crime. But iat the scene of the homocide, her fingerprints are everywhere - on the door, on the curtains, and on the knife used to stab hinm to death. Shocked and bewildered, Laurie is arraigned on a murder charge. 

Kidnapped at the age of four and the victim of two subsequent years of abuse and incarceration, Laurie has developed multiple personalities. The host personality, Laurie, is unaware of the others, especially ""Leona"" who has written crazed love letters to Allen Grant and his house.",,,,,,,,,,,,
Ghost hunters,Mystery,"From the grounds of the United States military academy at West Point, New York to the backwoods of Tennessee, Ghost Hunters chronicles Ed and Lorraine Warren's first-hand confrontations with the unknown, the unholy, and the unspeakable.

Here are the accounts of teenage girls who trifled with Satanism and séances, only to fall victim to the most horrifying of spirits… A village terrorized by a murderous, unstoppable force too evil to be anything but Hell-born… A family's home besieged by the relentless, destructive fury of poltergeists… The real facts behind the house of horrors in Amityville.

In all, fourteen terrifying tales… all the more spine-tingling because they're true!",,,,,,,,,,,,
Gerald's Game,Mystery,"Gerald and Jessie Burlingame have gone to their summer home on a warm weekday in October for a romantic interlude. After being handcuffed to her bedposts, Jessie tires of her husband's games, but when Gerald refuses to stop she lashes out at him with deadly consequences. Still handcuffed, she is trapped and alone. Painful memories from her childhood bedevil her. Her only company is a hungry stray dog and the sundry voices that populate her mind. As night comes, she is unsure whether it is her imagination or if she has another companion: someone watching her from the corner of her dark bedroom.

([source][1])


 [1]:",,,,,,,,,,,,
"Sunday Philosophy Club, The",Mystery,"With The Sunday Philosophy Club, Alexander McCall Smith, the author of the best-selling and beloved No. 1 Ladies' Detective Agency novels, begins a wonderful new series starring the irrepressibly curious Isabel Dalhousie.Isabel is fond of problems, and sometimes she becomes interested in problems that are, quite frankly, none of her business. This may be the case when Isabel sees a young man plunge to his death from the upper circle of a concert hall in Edinburgh. Despite the advice of her housekeeper, Grace, who has been raised in the values of traditional Edinburgh, and her niece, Cat, who, if you ask Isabel, is dating the wrong man, Isabel is determined to find the truth--if indeed there is one--behind the man's death. The resulting moral labyrinth might have stymied even Kant. And then there is the unsatisfactory turn of events in Cat's love life that must be attended to.Filled with thorny characters and a Scottish atmosphere as thick as a highland mist, The Sunday Philosophy Club is irresistible, and Isabel Dalhousie is the most delightful literary sleuth since Precious Ramotswe.From the Hardcover edition.",,,,,,,,,,,,
The Mystery of Cabin Island,Mystery,"The Hardy boys are elated over their good luck when wealthy Elroy Jefferson invites them to spend Christmas vacation at his private retreat on Cabin Island. But when Frank and Joe make a reconnaissance trip in their iceboat the Sea Gull to the island, a belligerent stranger orders them off. Why? Before 24 hours have passed, the Hardys find themselves involved in two mysteries: the first concerns the recent disappearance of Mr. Jefferson's grandson, Johnny; the second, the baffling theft of a priceless collection of antique medals which took place two years ago. The young detectives, with their pals Chet Morton and Biff Hooper, pursue both cases on the icebound, snow-covered island. Sabotage to the Sea Gull, danger to themselves, and a ghostly prowler do not daunt Frank and Joe in their search for Johnny Jefferson and for clues to the stolen antique medals. How the teen-age investigators outwit a ruthless foe and succeed in solving both mysteries makes for mounting suspense in this brisk-paced adventure. - Flyleaf.",,,,,,,,,,,,
Enter a Murderer (Roderick Alleyn #2),Mystery,"The script of the Unicorn Theatre's new play uncannily echoes a quarrel in the star's dressing room. And the stage drama gets all too real when charming Felix Gardener shoots his blustering rival, Arthur Surbonardier, dead-with a gun Arthur himself loaded with blanks. Or did he? How the live bullets got there, and why, make for a convoluted case that pits Inspector Roderick Alleyn against someone who rates an Oscar for a murderously clever performance ON MAY 25TH Arthur Surbonadier, whose real name was Arthur Simes, went to visit his uncle, Jacob Saint, whose real name was Jacob Simes.",,,,,,,,,,,,
Worth Dying For,Mystery,"There's deadly trouble in the corn county of Nebraska . . . and Jack Reacher walks right into it. First he falls foul of the Duncans, a local clan that has terrified an entire county into submission. But it's the unsolved, decades-old case of a missing child that Reacher can't let go.
 
 The Duncans want Reacher gone-and it's not just past secrets they're trying to hide. For as dangerous as the Duncans are, they're just the bottom of a criminal food chain stretching halfway around the world. For Reacher, it would have made much more sense to put some distance between himself and the hard-core trouble that's bearing down on him. For Reacher, that was also impossible.",,,,,,,,,,,,
The Improbable Adventures of Sherlock Holmes,Mystery,"A Sherlockiana primer / Christopher Roden --
[The doctor's case / Stephen King][1] --
The horror of the many faces / Tim Lebbon --
The case of the bloodless sock / Anne Perry --
The adventure of the other detective / Bradley H. Sinor --
A scandal in Montreal / Edward D. Hoch --
The adventure of the field theorems / Vonda N. McIntyre --
The adventure of the death-fetch / Darrell Schweitzer --
The shocking affair of the Dutch Steamship Friesland / Mary Robinette Kowal --
The adventure of the mummy's curse / H. Paul Jeffers --
The things that shall come upon them / Barbara Roden --
Murder to music / Anthony Burgess --
The adventure of the inertial adjustor / Stephen Baxter --
Mrs. Hudson's case / Laurie R. King --
The singular habits of wasps / Geoffrey A. Landis --
The affair of the 46th birthday / Amy Myers --
The Specter of Tullyfane Abbey / Peter Tremayne --
The vale of the white horse / Sharyn McCrumb --
The adventure of the Dorset Street lodger / Michael Moorcock --
The adventure of the lost world / Dominic Green --
The adventure of the antiquarian's niece / Barbara Hambly --
Dynamics of a hanging / Tony Pi --
Merridew of abominable memory / Chris Roberson --
Commonplaces / Naomi Novik --
The adventure of the Pirates of Devil's Cape / Rob Rogers --
The adventure of the Green Skull / Mark Valentine --
The human mystery / Tanith Lee --
A study in emerald / Neil Gaiman --
You see but you do not observe / Robert J. Sawyer.


 [1]:",,,,,,,,,,,,
Bury Your Dead (Armand Gamache #6),Mystery,"An obsessive historian's quest for the remains of the founder of Quebec, Samuel de Champlain, ends in murder. Could a secret buried with Champlain for nearly 400 years be so dreadful that someone would kill to protect it? Although he is supposed to be on leave, Chief Inspector Gamache cannot walk away from a crime that threatens to ignite long-smoldering tensions between the English and the French. Meanwhile, he is receiving disquieting letters from the village of Three Pines, where beloved Bistro owner Olivier was recently convicted of murder.",,,,,,,,,,,,
"At the Villa Rose, in Four acts",Mystery,"The place: Aix-les-Bains, a lakeside town in southeast France, popular for vacations of the well-to-do.

The players:

(1) The young Englishman, Harry Wethermill, who, after a brilliant career at Oxford and at Munich, had applied his scientific genius and made a fortune for himself at the age of twenty-eight.

(2) Mr. Ricardo, approaching the fifties in age; a widower - ""a state greatly to his liking, for he avoided at once the irksomeness of marriage and the reproaches justly leveled at the bachelor; finally, he was rich, having amassed a fortune in Mincing Lane, which he had invested in profitable securities.""

(3) Celia Harland, the beautiful, free-spirited 19-year-old English traveling companion of wealthy Mme. Dauvray, and recently romantic companion of Wethermill.

(4) Inspector Hanaud, the cleverest of French police detectives, on vacation at Aix-les-Bains.

The newspaper article: ""Late last night, an appalling murder was committed at the Villa Rose. Mme. Camille Dauvray, an elderly, rich woman who was well known at Aix, was discovered on the floor of her salon, fully dressed and brutally strangled, while upstairs, her maid was found in bed, chloroformed, with her hands tied securely behind her back. ... Mme. Dauvray's motor-car has disappeared, and with it a young Englishwoman who came to Aix with her as her companion. The motive of the crime leaps to the eyes. Mme. Dauvray was famous in Aix for her jewels, which she wore with too little prudence...they have disappeared.""

With Ricardo's help, Wethermill beseeches Hanaud to take up the case and help the local police find the missing Celia and solve the murder. He believes Celia will be exonerated once she is found. Hanaud considers the evidence and agrees to proceed, but warns Wethermill that he will see the case to the end, even if the outcome is not liked by Wethermill.",,,,,,,,,,,,
What Moves the Dead,Mystery,"When Alex Easton, a retired soldier, receives word that their childhood friend Madeline Usher is dying, they race to the ancestral home of the Ushers in the remote countryside of Ruravia.

What they find there is a nightmare of fungal growths and possessed wildlife, surrounding a dark, pulsing lake. Madeline sleepwalks and speaks in strange voices at night, and her brother Roderick is consumed with a mysterious malady of the nerves.

Aided by a redoubtable British mycologist and a baffled American doctor, Alex must unravel the secret of the House of Usher before it consumes them all.",,,,,,,,,,,,
Death Is Now My Neighbour,Mystery,"The peaceful quadrangle of Lonsdale College seems remote from the shocks of the outside world - such as the shooting of a young woman in her North Oxford home. But things at Lonsdale are not as tranquil as they appear. The Master of the college is retiring, and two senior dons, Denis Cornford and Julian Storrs, are vying, discreetly but furiously, to succeed him. There are only two people to whom the coveted appointment means more than it does to Cornford and Storrs - their wives.

Chief Inspector Morse, investigating the murder on Bloxham Drive, follows a trail that leads first to a tabloid journalist, then to the strip clubs of Soho. It soon winds back, however, to the university. For Morse and his partner, Sergeant Lewis, the question becomes: Is the Mastership of Lonsdale worth killing for?",,,,,,,,,,,,
Motor Mouth,Mystery,"Miami is still freakin' humid. The nights are even hotter. And there's a body on ice. And that's just the beginning of this adrenaline-rush of a hot-wired ride from phenomenal number one New York Times bestselling author Janet Evanovich.

A woman with a taste for speed and a talent for breaking the rules, Barney also knows a little too much about cheating. First there was Hooker and that salesclerk. Now she's convinced one of the competitors is up to no good on the track. Snooping to find evidence, Hooker and Barney ""borrow"" a NASCAR hauler. Turns out, the hauler is carrying two race cars and a dead guy. It looks like Barney and Hooker are facing multiple counts of grand theft auto and homicide.

So buckle up as Barney, Hooker, a 150-pound bundle of Saint Bernard love named Beans, and the Super Cigar Ladies Felicia and Rosa shift into gear on a wild race around South Florida and Concord, North Carolina.",,,,,,,,,,,,
Love Lies Bleeding,Mystery,"From Agora Books: ""
Castrevenford school is preparing for Speech Day and English professor and amateur sleuth Gervase Fen is called upon to present the prizes. However, the night before the big day, strange events take place that leave two members of staff dead. The Headmaster turns to Professor Fen to investigate the murders.

While disentangling the facts of the case, Mr Fen is forced to deal with student love affairs, a kidnapping and a lost Shakespearean manuscript. By turns hilarious and chilling, Love Lies Bleeding is a classic of the detective genre.

Erudite, eccentric and entirely delightful - Before Morse, Oxford's murders were solved by Gervase Fen, the most unpredictable detective in classic crime fiction.""",,,,,,,,,,,,
Black Notice,Mystery,"""The nightmare begins when a cargo ship arriving at Richmond's Deep Water Terminal from Belgium is discovered to be transporting a locked, sealed container holding the decomposed remains of a stowaway."" ""The autopsy performed by Chief Medical Examiner Dr. Kay Scarpetta initially reveals neither a cause of death nor an identification. But the victim's personal effects and an odd tattoo take Scarpetta on a hunt for information that leads to interpol's headquarters in Lyon, France, where she receives critical instructions: Go to the Paris morgue to receive forbidden, secret evidence and then return to Virginia to carry out a mission. It is a mission that could ruin her career.""--BOOK JACKET",,,,,,,,,,,,
Stone Kiss,Mystery,"It was the stunned, pale look of bad news

The call is brief. Theres been a murder in the family of Lieutenant Deckers half brother, Rabbi Jonathan Levine. Ephraim Lieber, a Hassidic Jew with a catalogue of problems in his past, was found dead in a seedy Manhattan hotel, a single gunshot wound to his head. And his niece, fifteen-year-old Shaynda, is missing.

In a desperate bid to track down the missing girl, Decker finds himself in an alien city and a maze of deceit and danger, on a twisted journey that takes him from the darkened slums of New Jersey and the deserted industrial streets of New York, to the hidden meeting places of Hassidic outcasts...",,,,,,,,,,,,
The Door,Mystery,"Elizabeth Bell runs a quiet household, with no family and no more than the usual number of servants. She passes her time thinking about crime and working on her biography of a relative. When a young cousin comes to stay, life in the house becomes uncharacteristically lively. First, cousin Judy burns a hole in Miss Bell's desk. Next, they spy a burglar on the staircase-a shadowy figure who vanishes without a trace. And finally, Sarah, the nurse, takes the dogs for a walk and never returns.

She is found savagely murdered, and she will not be the last to die. At first, Miss Bell stays calm, but when the police determine that the killer was one of her household, she begins to panic. If one of her servants is the killer, what is an old woman to do?",,,,,,,,,,,,
Five Run Away Together,Mystery,"Julian, Dick and Anne arrive in Kirrin Cottage to stay with George (real name Georgina) for the holidays. They plan to spend time exploring Kirrin Island but their happiness is spoilt when Aunt Fanny falls ill and must go to a far-off hospital. They are cared for by Aunt Fanny's temporary cook, Mrs. Stick, who repeatedly tries to poison George's dog. George hatches a plan for all the children to run away to Kirrin Island. While there, the children find evidence of other people visiting the island, and they suspect smugglers. The discovery of a young girl's toys and clothes point to something sinister going on.",,,,,,,,,,,,
Forfeit,Mystery,"Brett Checkov was a fleet street racing corresponsdent with an unnerving talent for tipping non-startersfor big races.But the advice he give James Tyrone ,a few minutes before he fell to his death was of a completly different nature.....

Not one for the quiet life,Tyrone has a bloodhounds nose for trouble and pretty soon he'scaught up in an incresingly dangerous game. One that threatens him ,his crippled wive and the credibility of the racing world

Blowing the roof off is the number one policy of the sunday blaze... and Tyrone has stumbled upon explosive material",,,,,,,,,,,,
The Frozen River,Mystery,"Maine, 1789: When the Kennebec River freezes, entombing a man in the ice, Martha Ballard is summoned to examine the body and determine cause of death. As a midwife and healer, she is privy to much of what goes on behind closed doors in Hallowell. Her diary is a record of every birth and death, crime and debacle that unfolds in the close-knit community. Months earlier, Martha documented the details of an alleged rape committed by two of the town's most respected gentlemen-one of whom has now been found dead in the ice. But when a local physician undermines her conclusion, declaring the death to be an accident, Martha is forced to investigate the shocking murder on her own.

Over the course of one winter, as the trial nears, and whispers and prejudices mount, Martha doggedly pursues the truth. Her diary soon lands at the center of the scandal, implicating those she loves, and compelling Martha to decide where her own loyalties lie.

Clever, layered, and subversive, Ariel Lawhon's newest offering introduces an unsung heroine who refused to accept anything less than justice at a time when women were considered best seen and not heard. The Frozen River is a thrilling, tense, and tender story about a remarkable woman who left an unparalleled legacy yet remains nearly forgotten to this day. --penguinrandomhouse.com",,,,,,,,,,,,
The Murder Room,Mystery,"Commander Dalgliesh investigates a horrible death at the Dupayne, a private museum on the edge of Hampstead Heath, dedicated to the years 1919-1939. One of the museum galleries displays exhibits from the most notorious murder cases of those inter-war years, and now a modern killer is at work, the crimes uncannily echoing the cases on display. All the people at the Dupayne - the trustees, the staff and the volunteers - have the means and the opportunity for murder. One of them has the ruthlessness to kill and kill again.",,,,,,,,,,,,
Jupiter's Bones,Mystery,"Once Dr. Emil Euler Ganz was a preeminent astrophysicist with a world-renowned reputation. But then he vanished without any warning to his family or colleagues. Fifteen years later, he reappeared as ""Father Jupiter,"" the founder and charismatic leader of the scientific cult, The Order of the Rings. And now he's dead--a vial of sleeping pills and an empty bottle of vodka standing near his lifeless body.Was Ganz's death an accident? Suicide? Or did someone hasten Jupiter prematurely out of this world? These are the questions LAPD Lieutenant Peter Decker and his Homicide team are determined to answer as they enter the cult's fortresslike compound. But the dead leader's four ""privileged"" attendants make it clear that the police are not welcome there--and the mysterious disappearance of two of the Order's members, including a child, turns an already uncomfortable situation even uglier and more incendiary. Decker will need more than the wisdom and support of his wife, Rina Lazarus, to defuse a ticking time bomb of jealousy, greed, bizarre hidden pasts, and deadly secrets--one that could explode at any time into mayhem so pernicious that it threatens to destroy a multitude of misguided lives--and scores of helpless, innocent children as well.",,,,,,,,,,,,
A Certain Justice,Mystery,"""Venetia Aldridge QC is a distinguished barrister. When she agrees to defend Garry Ashe, accused of the brutal murder of his aunt, it is one more opportunity to triumph in her career as a criminal lawyer. But Regina V. Ashe initiates events both frightening and unpredictable...

Just four weeks later, Miss Aldridge is found dead in her Middle Temple chambers. Commander Adam Dalgliesh, called in to investigate, finds motives for murder among the clients Venetia has defended: her professional colleagues, her family - even her lover. As Dalgliesh and his team narrow the field of suspects, a second brutal murder draws them into greater complexiteis of intrigue and evil.""",,,,,,,,,,,,
Speak Justly of the Dead,Mystery,"'""Never make trouble in the village"" is an unspoken law, but it's a binding law. You may know about your neighbours' sins and shortcomings, but you must never name them aloud. It'd make trouble, and small societies want to avoid trouble.'
When Dr Raymond Ferens moves to a practice at Milham in the Moor in North Devon, he and his wife are enchanted with the beautiful hilltop village lying so close to moor and sky. At first they see only its charm, but soon they begin to uncover its secrets - envy, hatred and malice. A few months after the Ferens' arrival, the body of Sister Monica, warden of the local children's home, is found floating in the mill-race. Chief Inspector Macdonald faces one of his most difficult cases in a village determined not to betray its dark secrets to a stranger.
from Goodreads",,,,,,,,,,,,
The Secret Place,Mystery,"Detective Stephen Moran has been waiting for his chance to join Dublin's Murder Squad when sixteen-year-old Holly Mackey arrives in his office with a photo of a popular boy whose body was found at a girls' boarding school a year earlier. The photo had been posted at ""The Secret Place,"" the school's anonymous gossip board, and the caption says ""I KNOW WHO KILLED HIM."" Stephen joins with Detective Antoinette Conway to reopen the case-beneath the watchful eye of Holly's father, fellow detective Frank Mackey. With the clues leading back to Holly's close-knit group of friends, to their rival clique, and to the tangle of relationships that bound them all to the murdered boy, the private underworld of teenage girls turns out to be more mysterious and more dangerous than the detectives imagined.",,,,,,,,,,,,
Brandvägg,Mystery,"Stopping to get money from a cash machine one evening, a man inexplicably falls to the ground: dead. A taxi driver is brutally murdered by two teenaged girls. Quickly apprehended they appal local policemen with their total lack of remorse.Stopping to get money from a cash machine one evening, a man inexplicably falls to the ground: dead. A taxi driver is brutally murdered by two teenaged girls. Quickly apprehended they appal local policemen with their total lack of remorse. One girl escapes police custody and disappears without trace. Soon afterwards a blackout covers half the country. When an engineer arrives at the malfunctioning power station, he makes a grisly discovery. Inspector Kurt Wallander is sure that these events must be linked - somehow. Hampered by the discovery of betrayals in his own team, lonely and frustrated, Wallander begins to lose conviction in his role as a detective. The search for answers leads Wallander dangerously close to a shadowy group of anarchic terrorists, hidden within the anonymity of cyberspace. Somehow these criminals seem always to know the police's next move. Wallander finds himself fighting to outsmart them In their gripping police procedural about our increasing vulnerability in the modern digitalised world.",,,,,,,,,,,,
Nine Coaches Waiting,Mystery,"Linda Martin, an English woman is hired to be a governess for a young French boy. But a strange terror coiled in the shadows behind the brooding elegance of the huge Château Valmy. It lay there like some dark and twisted thing -- waiting, watching, ready to strike.

Was it only chance encounter than had brought the lovely governess to the château? Or was it something planned? She only knew something was wrong and that she was afraid. She is unaware of the danger she faces or who to trust in order to protect the young heir. Now she could not even trust the man she loved. For Raoul Valmy was one of them -- linked by blood and name to the dark secrets of the Valmy past.",,,,,,,,,,,,
Born in Death,Mystery,"A Eve Dallas Investigation In Death

2060 in New York City. Lieutenant Eve Dallas has a grisly double homicide to solve when two young lovers-both employees of the same prestigious accounting firm-are brutally killed on the same night. It doesn't leave Eve a lot of leftover time to put together a baby shower for her buddy Mavis Freestone, but that's supposedly what friends are for.

Now Mavis needs another favor. Tandy Willowby, one of the moms-to-be in Mavis's birthing class, didn't show up for the shower. A recent emigrant from London, Tandy has few friends in New York, and no family-and she was really looking forward to the party. And when Eve enters Tandy's apartment and finds a gift for Mavis's shower wrapped and ready on the table-and a packed bag for the hospital still on the floor next to it-tingling runs up and down her spine.

Normally, such a case would be turned over to Missing Persons. But Mavis wants no one else on the job but Eve-and Eve can't say no. She'll have to track Tandy down while simultaneously unearthing the deals and double-crosses hidden in the files of some of the city's richest and most secretive citizens, in a race against this particularly vicious killer. Luckily, her multimillionaire husband Roarke's expertise comes in handy with the number crunching. But as he mines the crucial data that will break the case wide open, Eve faces an all too real danger in the world of flesh and blood.",,,,,,,,,,,,
Malice aforethought,Mystery,"On a balmy summer's day in 1930 the great and the good of the county are out in force for the annual, much-anticipated tennis party at the Bickleighs, although not everyone has much enthusiasm for the game. The tennis party exists for other reasons-and charmingly mannered infidelity is now the most popular pastime in the small but exclusive Devonshire hamlet of Wyvern's Cross. Which is why, in his own garden, the host, Dr Edmund Bickleigh, is desperately fighting to conceal the two things on his mind: a mounting passion for Gwynfryd Rattery-and the certain conviction that he is going to kill his wife ...",,,,,,,,,,,,
A Dram of Poison,Mystery,"For fifty-five years, Kenneth Gibson has lived in backwaters. A former army clerk, he makes a quiet living teaching poetry to indifferent undergrads. His life is happily dull until the day he meets Rosemary, a damaged girl whose frailty compels Kenneth to try to make her well. They wed, and as Rosemary recovers from her depression, Gibson falls in love, transforming his world. But his wife will never love him.
 
She is smitten with their landlord, a dashing young chemical engineer named Paul. Gibson wants to let her go, but he cannot bear to be parted with the first love he has ever known. In Paul's house is a case of poison, and this love triangle can only end in death.",,,,,,,,,,,,
The footsteps at the lock,Mystery,"The outing seems innocuous enough. Two cousins, Derek and Nigel Burtell, have agreed to a canoeing voyage up the Thames, the object being to restore Derek's failing health. As it happens, Derek is shortly to inherit £50,000 from his grand father. In view of the young man's deteriorating physical condition, however, the Indescribable Insurance Company (Knox's nod to the ""Lord, what fun!"" school of detective fiction) has insured his life, in the event he does not reach his 25th birthday, the scheduled date of his windfall.

The journey upstream goes without a hitch: however, the return trip is destined to be less than idyllic. Nigel leaves the canoe at Shipcote Lock to take an exam at Oxford. Before he can rejoin his brother, the canoe is discovered adrift below the lock, empty and with a jagged gash in the bottom. Derek is nowhere to be found.

Suspecting foul play, the Indescribable sends Miles Bredon, the firm's premier investigator, to look into the case. Can the pastoral reaches of the upper Thames be harboring a murderer? Has Derek met with an accident? Will the company have to pay up? To complicate matters, Nigel Burtell has also vanished.

Thus begins an urbane and literate mystery, delightfully tongue-in-cheek in tone, that offers mystery buffs ample opportunity to match wits with the imperturbable Bredon and to puzzle over a cluster of clues--a set of strange photographs, a baffling cipher, a trail of naked footprints in the mud near the lock. The author's poetic evocation of the river and the countryside through which it flows provides a peaceful counterpoint to the dubious deeds under investigation.",,,,,,,,,,,,
Perfect,Mystery,"In a town where gossip thrives like the ivy that clings to its mansions, where mysteries lie behind manicured hedges and skeletons hide in every walk-in closet, four perfect-looking girls aren't nearly as perfect as they seem. Three years ago, Spencer, Aria, Emily, Hanna, and their best friend Alison were the girls at Rosewood Day School. They clicked through the halls in their Miu Miu flats, tanned in their matching Pucci bikinis, and laughed behind their freshly manicured fingernails. They were the girls everyone loved but secretly hated-especially Alison. So when Alison mysteriously vanished one night, Spencer, Aria, Emily, and Hanna's grief was tinged with...relief. And when Alison's body was later discovered in her own backyard, the girls were forced to unearth some ugly memories of their old friend, too. Could there be more to Alison's death than anyone realizes? Now someone named A, someone who seems to know everything, is pointing the finger at one of them for Ali's murder. As their secrets get darker and their scandals turn deadly, A is poised to ruin their perfect little lives forever.",,,,,,,,,,,,
The Narrows,Mystery,"FBI agent Rachel Walling finally gets the call she's dreaded for years, the one that tells her the Poet has surfaced. She has never forgotten the serial killer who wove lines of poetry in his hideous crimes--and apparently he has not forgotten her.

Former LAPD detective Harry Bosch gets a call, too--from the widow of an old friend. Her husband's death seems natural, but his ties to the hunt for the Poet make Bosch dig deep. Arriving at a derelict spot in the California desert where the feds are unearthing bodies, Bosch joins forces with Rachel. Now the two are at odds with the FBI... and squarely in the path of the Poet, who will lead them on a wicked ride out of the heat, through the narrows of evil, and into a darkness all his own...",,,,,,,,,,,,
Death of a Expert Witness,Mystery,"Tras la muerte violenta de un forense mientras trabaja. Adam Dalgliesh debe hurgar en la intimidad de los científicos vinculados a la víctima por sus tareas, problemas e incluso celos profesionales. Todos son especialistas en el comportamiento de la muerte y en desenmascarar a un criminal con un microscopio o un tubo de ensayo. En este caso, sin embargo, el asesino podría hallarse en el mismo laboratorio. Um 6 Uhr 12 schrillte das Telefon. The call had come at 6:12 precisely.",,,,,,,,,,,,
